Rank,Lister,Artist,Album,# of lists,98
8,Kurt,Këkht Aräkh,Pale Swordsman,,
9,Kurt,Limp Bizkit,Still Sucks,,
10,Kurt,Wolves in the Throne Room,Primordial Arcana,,
1,Lauren,Big Thief,Change,,
2,Lauren,Evan Wright,Sound from out the Window,,
3,Lauren,Renée Reed,Renée Reed,,
4,Lauren,Izzy Johnson,Earth Tones,,
5,Lauren,Men I Trust,Untourable Album,,
6,Lauren,Canary Room,Christine,,
7,Lauren,Sufjan Stevens & Angelo De Augustine,A Beginner's Mind,,
8,Lauren,Squirrel Flower,Planet (i),,
9,Lauren,Sloppy Jane,Madison,,
10,Lauren,Water From Your Eyes,Structure,,
1,Lucy,Emile Mosseri,Minari (Original Motion Picture Soundtrack),,
2,Lucy,Fleet Foxes,A Very Lonely Solstice,,
3,Lucy,Antonio Pinto,Nine Days,,
4,Lucy,Olivia Rodrigo,Sour,,
5,Lucy,Various Artists,The Harder They Fall (The Motion Picture Soundtrack),,
6,Lucy,Bo Burnham,Inside (The Songs),,
7,Lucy,The War on Drugs,I Don't Live Here Anymore,,
8,Lucy,Julien Baker,Little Oblivions,,
9,Lucy,Death Cab for Cutie,The Georgia EP,,
10,Lucy,Celeste,Not Your Muse,,
1,Lukas,Julien Baker,Little Oblivions,,
2,Lukas,Tawni Bias,SEL Fellow,,
3,Lukas,Japanese Breakfast,Jubilee,,
4,Lukas,"Tyler, the Creator",Call Me If You Get Lost,,
5,Lukas,Illuminati Hotties,Let Me Do One More,,
6,Lukas,Claud,Super Monster,,
7,Lukas,Arlo Parks,Collapsed in Sunbeams,,
8,Lukas,The War on Drugs,I Don't Live Here Anymore,,
9,Lukas,Adele,30,,
10,Lukas,Kings of Leon,When You See Yourself,,
1,Luke,Sufjan Stevens & Angelo De Augustine,A Beginner's Mind,,
2,Luke,James Blake,Friends That Break Your Heart,,
3,Luke,Julien Baker,Little Oblivions,,
4,Luke,Bo Burnham,Inside (The Songs),,
